0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/ktc/css/common.css HTTP/1.1" 200 19690
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/css/basedata/add-weight-setting.css HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/css/iview.css HTTP/1.1" 200 267709
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/css/index.css HTTP/1.1" 200 8428
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/css/basedata/ht-list-common.css HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/js/jquery-2.0.3.min.js HTTP/1.1" 200 83618
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/js/vue.min.js HTTP/1.1" 200 86452
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/ktc/js/app.js HTTP/1.1" 200 79255
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/plugins/layui/layui.all.js HTTP/1.1" 200 227001
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/plugins/iview/iview.min.js HTTP/1.1" 200 539096
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/js/common.js HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:30 +0800] "GET /web/js/index.js HTTP/1.1" 200 22177
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "GET /web/plugins/layui/css/modules/laydate/default/laydate.css?v=5.0.9 HTTP/1.1" 200 7538
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "GET /web/plugins/layui/css/modules/layer/default/layer.css?v=3.1.1 HTTP/1.1" 200 14426
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "GET /web/shiroUser/info?_1543483831144&_=1543483830722 HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "GET /web/plugins/layui/css/modules/code.css HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "GET /web/images/logo.png HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "GET /web/images/open.png HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "GET /web/images/email.png HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 200 230318
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "GET /web/images/alarm.png HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "GET /web/css/fonts/ionicons.ttf?v=2.0.0 HTTP/1.1" 200 188508
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:31 +0800] "GET /web/plugins/iview/iview.min.js.map HTTP/1.1" 404 157
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/images/finance_active.png HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/finance/FixedAssets/FixedAssetsSubsidiaryLedger/index.html HTTP/1.1" 200 13573
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/images/finance.png HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/dist/css/vendors.min.css?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 452989
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/ktc/css/common.css?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 19690
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/css/main.css?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/js/common.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 200 39486
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/plugins/layui/layui.all.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 227001
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/ktc/js/app.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 79255
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/plugins/Lodop/LodopFuncs.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 8380
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/plugins/Lodop/LodopCommFun.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 15912
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/js/utils.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 23299
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/js/basedata/components/search-select-more.js HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [29/Nov/2018:17:30:32 +0800] "GET /web/js/http.js?_=9693c048-2bb2-4f3d-a49f-c11257cb1dc6 HTTP/1.1" 200 6394
