0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:27 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 200 295626
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:27 +0800] "GET /web/images/favicon.png HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:27 +0800] "GET /web/finance/Wages/wageEntry/index.html HTTP/1.1" 200 19440
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:28 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 200 42579
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:28 +0800] "POST /web/app/wmEmployeeItems/initData HTTP/1.1" 200 7922
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:28 +0800] "POST /web/app/wmEmployeeItems/changeValue HTTP/1.1" 200 15609
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:30 +0800] "GET /web/shiroUser/info?_1545699930252&_=1545699930156 HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:30 +0800] "POST /web/public/getUserOragnList HTTP/1.1" 200 2498
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:30 +0800] "POST /web/sysShiroMenu/queryByMenuTree HTTP/1.1" 200 295626
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:31 +0800] "POST /web/shiroCode/queryByBaseCodeAll HTTP/1.1" 200 42579
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:37 +0800] "GET /web/finance/Wages/incomeTaxCalc/index.html HTTP/1.1" 200 21188
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:38 +0800] "POST /web/dept/imported HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:38 +0800] "POST /web/incomeTax/initPage HTTP/1.1" 200 10857
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:38 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:38 +0800] "POST /web/incomeTax/initPage HTTP/1.1" 200 8176
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:38 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:38 +0800] "POST /web/dept/imported HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:44 +0800] "GET /web/finance/Wages/Department/index.html HTTP/1.1" 200 9300
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:44 +0800] "GET /web/js/finance/Wages/Department/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:44 +0800] "POST /web/category/list HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:44 +0800] "POST /web/dept/imported HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:44 +0800] "POST /web/category/selected HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:44 +0800] "POST /web/dept/notimported HTTP/1.1" 200 5890
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:44 +0800] "POST /web/category/select/47001 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:44 +0800] "POST /web/dept/imported HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:44 +0800] "POST /web/dept/notimported HTTP/1.1" 200 5890
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:46 +0800] "GET /web/finance/Wages/employee/index.html HTTP/1.1" 200 19540
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:46 +0800] "POST /web/WmEmployeeAppController/initPage HTTP/1.1" 200 6212
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:46 +0800] "POST /web/dept/imported HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:47 +0800] "POST /web/WmEmployeeAppController/getEmployeeList HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:47 +0800] "POST /web/dept/imported HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:51 +0800] "POST /web/WmEmployeeAppController/getEmployeeList HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:51 +0800] "POST /web/category/select/42001 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:56 +0800] "POST /web/WmEmployeeAppController/importSearch HTTP/1.1" 200 15957
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:05:59 +0800] "GET /web/plugins/ztree/css/zTreeStyle/img/zTreeStandard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:01 +0800] "GET /web/plugins/ztree/css/zTreeStyle/img/line_conn.gif HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:05 +0800] "POST /web/WmEmployeeAppController/importSaveFun HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:06 +0800] "POST /web/WmEmployeeAppController/getEmployeeList HTTP/1.1" 200 15884
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:06 +0800] "POST /web/WmEmployeeAppController/importSearch HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:11 +0800] "GET /web/finance/Wages/wageEntry/index.html HTTP/1.1" 200 19440
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:11 +0800] "POST /web/app/wmEmployeeItems/initData HTTP/1.1" 200 7923
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:12 +0800] "POST /web/app/wmEmployeeItems/changeValue HTTP/1.1" 200 16572
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:15 +0800] "POST /web/app/wmEmployeeItems/list HTTP/1.1" 200 27153
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:15 +0800] "POST /web/testDocument/getCurrentUserDeptInfo HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:17 +0800] "GET /web/finance/Wages/incomeTaxCalc/index.html HTTP/1.1" 200 21188
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:17 +0800] "POST /web/dept/imported HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:17 +0800] "POST /web/incomeTax/initPage HTTP/1.1" 200 12470
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:18 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:18 +0800] "POST /web/incomeTax/initPage HTTP/1.1" 200 9789
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:18 +0800] "POST /web/dept/imported HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:18 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:31 +0800] "POST /web/WmEmployeeAppController/deleteEmplOnCategory HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:31 +0800] "POST /web/WmEmployeeAppController/getEmployeeList HTTP/1.1" 200 14012
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:34 +0800] "POST /web/app/wmEmployeeItems/list HTTP/1.1" 200 26336
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:39 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 5492
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:06:58 +0800] "POST /web/WmEmployeeAppController/importSearch HTTP/1.1" 200 1940
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:05 +0800] "GET /web/finance/Wages/Department/index.html HTTP/1.1" 200 9300
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:05 +0800] "POST /web/category/selected HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:05 +0800] "POST /web/category/list HTTP/1.1" 200 2455
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:05 +0800] "POST /web/dept/imported HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:05 +0800] "POST /web/dept/notimported HTTP/1.1" 200 5890
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:05 +0800] "POST /web/category/select/42001 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:06 +0800] "POST /web/dept/imported HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:06 +0800] "POST /web/dept/notimported HTTP/1.1" 200 5890
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:16 +0800] "POST /web/category/select/44001 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:16 +0800] "POST /web/dept/imported HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:16 +0800] "POST /web/dept/notimported HTTP/1.1" 200 5890
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:26 +0800] "POST /web/dept/delete HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:26 +0800] "POST /web/dept/imported HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:26 +0800] "POST /web/dept/notimported HTTP/1.1" 200 5890
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:32 +0800] "POST /web/dept/delete HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:32 +0800] "POST /web/dept/imported HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:32 +0800] "POST /web/dept/notimported HTTP/1.1" 200 5890
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:36 +0800] "POST /web/dept/delete HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:36 +0800] "POST /web/dept/imported HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:36 +0800] "POST /web/dept/notimported HTTP/1.1" 200 5890
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:48 +0800] "POST /web/WmEmployeeAppController/getEmployeeList HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:48 +0800] "POST /web/category/select/44001 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:48 +0800] "POST /web/dept/imported HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:07:49 +0800] "POST /web/WmEmployeeAppController/importSearch HTTP/1.1" 200 46569
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:08:08 +0800] "POST /web/WmEmployeeAppController/importSaveFun HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:08:09 +0800] "POST /web/WmEmployeeAppController/getEmployeeList HTTP/1.1" 200 13103
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:08:09 +0800] "POST /web/WmEmployeeAppController/importSearch HTTP/1.1" 200 33512
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:08:17 +0800] "POST /web/app/wmEmployeeItems/changeValue HTTP/1.1" 200 15577
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:08:21 +0800] "POST /web/app/wmEmployeeItems/list HTTP/1.1" 200 24336
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:08:25 +0800] "POST /web/incomeTax/initPage HTTP/1.1" 200 8160
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:08:25 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:08:25 +0800] "POST /web/dept/imported HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:18:39 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:18:41 +0800] "POST /web/incomeTax/initPage HTTP/1.1" 200 9789
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:18:41 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 5492
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:18:41 +0800] "POST /web/dept/imported HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:18:46 +0800] "POST /web/incomeTax/initPage HTTP/1.1" 200 8160
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:18:46 +0800] "POST /web/incomeTax/listTaxRateEntry HTTP/1.1" 200 5401
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:18:46 +0800] "POST /web/dept/imported HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:19:35 +0800] "POST /web/wmIncomeItem/saveOrUpdate HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:07 +0800] "POST /web/wmPersonalTaxInit/saveOrUpdate HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:09 +0800] "POST /web/wmPersonalTaxInit/queryInitTax HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:16 +0800] "POST /web/incomeTax/cliTaxRate HTTP/1.1" 200 5583
0:0:0:0:0:0:0:1 - - [25/Dec/2018:09:20:23 +0800] "GET /web/index.html HTTP/1.1" 304 -
